country,imf_forecast,worldbank_estimate,unitednations_estimate,gdp_usd_billions
Nicaragua,17353.0,15672.0,14013.0,47.04
Niger,17073.0,13970.0,14915.0,45.96
Guyana,16329.0,15358.0,8044.0,39.73
Moldova,16000.0,14421.0,13680.0,44.1
North Macedonia,15801.0,13563.0,13881.0,43.24
Madagascar,15763.0,14955.0,14450.0,45.17
Brunei,15153.0,16682.0,14006.0,45.84
Mauritius,14819.0,12898.0,11525.0,39.24
Congo,14407.0,14616.0,12841.0,41.86
Laos,14244.0,15724.0,19074.0,49.04
Rwanda,13927.0,13313.0,11070.0,38.31
Bahamas,13876.0,12897.0,11209.0,37.98
Malawi,13176.0,13165.0,12199.0,38.54
Kyrgyzstan,12681.0,10931.0,8741.0,32.35
Namibia,12647.0,12607.0,12236.0,37.49
Chad,12596.0,12704.0,16410.0,41.71
Tajikistan,11816.0,10492.0,8746.0,31.05
Somalia,11515.0,8126.0,7628.0,27.27
Kosovo,10469.0,9429.0,9412.0,29.31
Mauritania,10357.0,10375.0,9996.0,30.73
Equatorial Guinea,10041.0,11814.0,12431.0,34.29
Togo,9111.0,8126.0,8160.0,25.4
Montenegro,7058.0,6096.0,5809.0,18.96
Maldives,6977.0,6190.0,5406.0,18.57
Barbados,6220.0,5638.0,4844.0,16.7
Fiji,5511.0,4943.0,4296.0,14.75
Eswatini,4648.0,4854.0,4732.0,14.23
Liberia,4347.0,4001.0,2445.0,10.79
Djibouti,3873.0,3515.0,3701.0,11.09
Andorra,3692.0,3352.0,3325.0,10.37
Suriname,3539.0,3621.0,3224.0,10.38
Sierra Leone,3519.0,3970.0,4249.0,11.74
Belize,3218.0,2824.0,2492.0,8.53
Burundi,3190.0,3073.0,3900.0,10.16
Central African Republic,2760.0,2383.0,2518.0,7.66
Cape Verde,2598.0,2315.0,1936.0,6.85
Saint Lucia,2469.0,2065.0,1765.0,6.3
Gambia,2388.0,2273.0,2038.0,6.7
Lesotho,2373.0,2553.0,2373.0,7.3
Seychelles,2085.0,1588.0,1287.0,4.96
East Timor,2023.0,3163.0,2004.0,7.19
Guinea-Bissau,1991.0,1634.0,1563.0,5.19
Antigua and Barbuda,1949.0,1758.0,1421.0,5.13
Solomon Islands,1690.0,1596.0,1632.0,4.92
Comoros,1364.0,1243.0,1340.0,3.95
Grenada,1306.0,1256.0,1115.0,3.68
Vanuatu,1166.0,984.0,981.0,3.13
Saint Kitts and Nevis,1069.0,962.0,861.0,2.89
Saint Vincent and the Grenadines,1039.0,949.0,881.0,2.87
Samoa,939.0,832.0,857.0,2.63
Dominica,697.0,612.0,548.0,1.86
São Tomé and Príncipe,674.0,547.0,555.0,1.78
Micronesia,458.0,427.0,404.0,1.29
Marshall Islands,277.0,280.0,257.0,0.81
Kiribati,246.0,223.0,227.0,0.7
Nauru,150.0,151.0,155.0,0.46
Tuvalu,63.0,60.0,60.0,0.18
